gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
LINC03007,53.229157070949945,-1.4591606147123977,0.5143779417946757,1.4764780251568066e-4,0.02552991310033512
FKBP5,66472.5367696051,-0.8211108461750312,0.28498056975534225,1.5168687662701886e-4,0.025971172680531934
CLRN3,122.01390143431956,0.9433388075526823,0.3287866618851526,1.534531249011238e-4,0.026018498769642972
TIPARP,716.1826925338733,-0.549310473961179,0.18746449849611266,1.6817236931374684e-4,0.027939273933692502
RPL41P2,226.72596375517728,1.2510349935479848,0.44592319377319956,1.6921536985404863e-4,0.027939273933692502
DNAH7,97.93837406929426,-1.0964322238477338,0.3891858659843516,1.7071644028535994e-4,0.027939273933692502
PTH2,46.62197335221322,1.5210596442672237,0.5443641996267045,1.7230149824760697e-4,0.027939273933692502
SLC26A3,476.60312169642765,-1.0784371524973344,0.38473965886581807,1.727806679362569e-4,0.027939273933692502
CKMT2,83.4458878368437,-1.2681075715784025,0.4555323530680991,1.819725673743166e-4,0.028978720342022733
RDH10-AS1,13.529830593943757,-2.657352269024869,0.9264005519987671,1.8252744145799937e-4,0.028978720342022733
AKR1C2,800.5662795982906,0.9473061009544328,0.33804029018456083,1.8593864007301032e-4,0.029041612479115103
MOGAT1,51.04830789693779,-1.3054549408503742,0.46980717951586515,1.8624946161594662e-4,0.029041612479115103
LOC100130587,10.146934709014582,-3.14514120546778,1.0710973912308166,1.9686480128200114e-4,0.030425193713175824
CCK,68.89354877874392,-1.53191272027548,0.5631130643746393,2.005630540701562e-4,0.030724852423519366
NABP1,565.6642504051509,-0.6890197788416058,0.24585738178631003,2.104886907865742e-4,0.031964995616493325
CCNYL7,21.67692070970307,-1.5472675025112428,0.5623757813513826,2.1539089772885592e-4,0.03242747101669603
YBX1P4,17.102270290729177,-1.8762331396718934,0.6818896886239731,2.1901627091043877e-4,0.032691454317776945
LOC100287290,49.91504415846389,-1.1102965179024424,0.40922572513736843,2.3172128060412582e-4,0.03429474952941062
DGKG,76.25659024652025,-1.0674796298625069,0.39639462446453133,2.4069488340232924e-4,0.03518035437460299
FOXG1,19.17035090937544,-1.809096369801637,0.6683316727288985,2.4173399707697887e-4,0.03518035437460299
RNU6-8,32.57618334878247,2.264998161766589,0.861227594351305,2.4981699117203305e-4,0.036056230858085826
ATOH1,189.4067629582681,-1.3072547560636028,0.49433266093814227,2.531940270214668e-4,0.0362441023598598
KLF7,759.2169408067958,-0.5759110855571928,0.2095017365173997,2.739129247795865e-4,0.038891181450005675
USP54,4656.161096461199,-0.650433990559972,0.24129214822766715,2.849993067964048e-4,0.03997336949084779
CNTFR,485.94366857705865,0.6291194855470571,0.23127149661031413,2.861126423703604e-4,0.03997336949084779
COMP,109.25185440597723,2.276249670507139,0.8942536971924931,2.921138725964403e-4,0.040385618525665405
MAX-AS1,22.61224454175883,-2.1667672147243726,0.8338604320564034,2.936883619308009e-4,0.040385618525665405
LOC124902108,79.01506514916042,-1.3785970387344628,0.5362310669829309,3.0890817983650885e-4,0.04174601875765112
TUFMP1,244.0452507552986,-1.1164359270764153,0.4324680820592519,3.1533468503351745e-4,0.04174601875765112
RPS27AP5,74.98742796324815,0.9356866083737535,0.35768697080460055,3.176058297461157e-4,0.04174601875765112
MTMR9-AS1,37.288118345175555,-1.544517822138392,0.6011161130151218,3.1868582009891584e-4,0.04174601875765112
GRIN2C,79.94270941587676,-0.9371521292006935,0.3592215079097969,3.1943480874908865e-4,0.04174601875765112
RPL5P12,106.20577553169795,0.860345417231546,0.3281349005025677,3.1966348071882177e-4,0.04174601875765112
